,table_index,question,correct_answer,possible_answer,cos_sim
250,14,How to set the stroke for 6 in. and above valve?,Does the lockout pin pass over the top of thegate?,6 in. (DN 150) and above ,0.6672871112823486
251,14,How to set the stroke for 6 in. and above valve?,Does the lockout pin pass over the top of thegate?,"Does the lockout pin pass over the top of thegate? 
",0.653872013092041
252,14,How to set the stroke for 6 in. and above valve?,Does the lockout pin pass over the top of thegate?,"Does the lockout pin pass through the gateclamp? 
",0.6437536478042603
253,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,The fully-closed valve is leaking past the seat. ,0.6413851976394653
254,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,The seal is not compressed correctly. ,0.6369342803955078
255,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,"See Lubrication requirements in the Maintenance section. 
",0.6262138485908508
256,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,"Set the stroke. 
",0.6261838674545288
257,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,The valve is not lubricated properly. ,0.6222509741783142
258,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,Excessive force is required to open and close the valve. ,0.6217999458312988
259,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,"Consult the factory. 
",0.6151333451271057
260,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,Excessive force is required to open and close the valve. ,0.6120747923851013
261,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,The packing is too tight. ,0.6108291149139404
262,15,What is the cause if the fully-closed valve is leaking?,The seat or gate is damaged.,The fully-closed valve is leaking past the seat. ,0.6045076251029968
263,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,Excessive force is required to open and close the valve. ,0.6530625820159912
264,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,"See Lubrication requirements in the Maintenance section. 
",0.6498215794563293
265,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,The valve is not lubricated properly. ,0.6463760137557983
266,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,The fully-closed valve is leaking past the seat. ,0.6374387145042419
267,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,The seal is not compressed correctly. ,0.6265525817871094
268,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,Excessive force is required to open and close the valve. ,0.6249109506607056
269,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,"Set the stroke. 
",0.6206938028335571
270,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,"Consult the factory. 
",0.6184746026992798
271,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,The packing is too tight. ,0.6148613691329956
272,15,What symptom can I see if the seal in the valve is not compressed correctly?,The fully-closed valve is leaking past the seat.,Excessive force is required to open and close the valve. ,0.5943655967712402
273,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,2 ,0.5279607176780701
274,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,Grease fitting ,0.5113468170166016
275,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,Mild steel plated ,0.5103648900985718
276,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,3 ,0.5036516785621643
277,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,"
",0.5006860494613647
278,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,1 ,0.49223339557647705
279,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,Yoke assembly ,0.49097180366516113
280,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,Stainless steel ,0.4838072657585144
281,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,Ductile iron ,0.472473680973053
282,16,"What is material of handweel in C67 Bi-Directional Knife Gate Valve, S Series?",Ductile iron,"Carbon steel 
",0.47191691398620605
283,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,3 ,0.48724567890167236
284,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,2 ,0.4823283553123474
285,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,1 ,0.47907447814941406
286,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,Mild steel plated ,0.47897472977638245
287,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,Stainless steel ,0.47758930921554565
288,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,Ductile iron ,0.4768417477607727
289,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,Yoke assembly ,0.4741554856300354
290,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,,0.46275240182876587
291,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,"Carbon steel 
",0.4607376456260681
292,16,What is the material of Yoke assembly in C67 Valve R Series?,Carbon steel,S Series ,0.45661473274230957
293,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.4791453778743744
294,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,Bad Brake ,0.4788016080856323
295,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,"Remove brake hub &amp; try to run 
",0.47754591703414917
296,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,Wrong voltage ,0.4512064456939697
297,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.4503936767578125
298,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,"Check power supply &amp; make appropriate changes 
",0.4495963454246521
299,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,ACTUATOR WILL NOT OPEN OR CLOSE COMPLETELY. VALVE OSCILLATES.  ,0.4432511329650879
300,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,Torque trip delay set too low on K Series ,0.43748003244400024
301,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,"Adjust torque switch screw 
",0.43594223260879517
302,17,What is the solution of the problem with bad brake?,Remove brake hub &amp; try to run,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.43153101205825806
303,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,ACTUATOR WILL NOT OPEN OR CLOSE COMPLETELY. VALVE OSCILLATES.  ,0.5397450923919678
304,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,Motor brake out of adjustment. ,0.5340747237205505
305,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5324511528015137
306,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,Bad Brake ,0.5311554670333862
307,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,"Adjust brake 
",0.5308127403259277
308,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,"Remove brake hub &amp; try to run 
",0.5303054451942444
309,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,Wrong voltage ,0.5114616751670837
310,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5108679533004761
311,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,"Check power supply &amp; make appropriate changes 
",0.5097765922546387
312,17,What to do if the motor brake out of adjustment?,Motor brake out of adjustment.,Gear damage or sheared pin ,0.5077875852584839
313,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,Gear damage or sheared pin ,0.7184315919876099
314,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,MOTOR RUNS BUT OUTPUT SHAFT DOES NOT ROTATE. ,0.7173974514007568
315,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,"Contact ICI or nearest distributor 
",0.7155584096908569
316,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,ACTUATOR WILL NOT OPEN OR CLOSE COMPLETELY. VALVE OSCILLATES.  ,0.6324349045753479
317,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,Thermal overload activated ,0.6315323710441589
318,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,"Allow motor to cool, actuator will automatically reset 
",0.6296323537826538
319,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,ACTUATOR WILL NOT OPEN OR CLOSE COMPLETELY. VALVE OSCILLATES.  ,0.6279231905937195
320,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,Torque trip delay set too low on K Series ,0.6263007521629333
321,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.6262346506118774
322,17,"What is the problem if motor runs, but output shaft does not rotate?",Gear damage or sheared pin,"Adjust torque switch screw 
",0.6231626272201538
323,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5956753492355347
324,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,Wrong voltage ,0.5882525444030762
325,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,"Check power supply &amp; make appropriate changes 
",0.584314227104187
326,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5677123069763184
327,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5638505220413208
328,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL. ,0.5628650188446045
329,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,Thermal overload activated ,0.5602075457572937
330,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,"Allow motor to cool, actuator will automatically reset 
",0.5560342669487
331,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,Power not on ,0.554129421710968
332,17,which symptoms could be seen in case of wrong voltage?,ACTUATOR DOES NOT RESPOND TO CONTROL SIGNAL.,Bad Brake ,0.55320143699646
